number,timestamp,blobGasUsed,excessBlobGas,blobGasPrice
22431513,2025-05-07T11:36:59.000Z,1048576,0,1
22431514,2025-05-07T11:37:11.000Z,1048576,262144,1
22431515,2025-05-07T11:37:23.000Z,786432,524288,1
22431516,2025-05-07T11:37:35.000Z,0,524288,1
22431517,2025-05-07T11:37:47.000Z,524288,0,1
22431518,2025-05-07T11:37:59.000Z,1048576,0,1
22431519,2025-05-07T11:38:11.000Z,524288,262144,1
22431520,2025-05-07T11:38:23.000Z,0,0,1
22431521,2025-05-07T11:38:35.000Z,655360,0,1
22431522,2025-05-07T11:38:47.000Z,786432,0,1
22431523,2025-05-07T11:38:59.000Z,0,0,1
22431524,2025-05-07T11:39:11.000Z,655360,0,1
22431525,2025-05-07T11:39:23.000Z,0,0,1
22431526,2025-05-07T11:39:35.000Z,393216,0,1
22431527,2025-05-07T11:39:47.000Z,0,0,1
22431528,2025-05-07T11:39:59.000Z,131072,0,1
22431529,2025-05-07T11:40:11.000Z,655360,0,1
22431530,2025-05-07T11:40:23.000Z,786432,0,1
22431531,2025-05-07T11:40:35.000Z,131072,0,1
22431532,2025-05-07T11:40:47.000Z,655360,0,1
22431533,2025-05-07T11:40:59.000Z,786432,0,1
22431534,2025-05-07T11:41:11.000Z,0,0,1
22431535,2025-05-07T11:41:35.000Z,1048576,0,1
22431536,2025-05-07T11:41:47.000Z,655360,262144,1
22431537,2025-05-07T11:41:59.000Z,0,131072,1
22431538,2025-05-07T11:42:11.000Z,524288,0,1
22431539,2025-05-07T11:42:23.000Z,0,0,1
22431540,2025-05-07T11:42:35.000Z,1179648,0,1
22431541,2025-05-07T11:42:47.000Z,0,393216,1
22431542,2025-05-07T11:42:59.000Z,0,0,1
22431543,2025-05-07T11:43:11.000Z,655360,0,1
22431544,2025-05-07T11:43:23.000Z,0,0,1
22431545,2025-05-07T11:43:35.000Z,0,0,1
22431546,2025-05-07T11:43:47.000Z,1179648,0,1
22431547,2025-05-07T11:43:59.000Z,0,393216,1
22431548,2025-05-07T11:44:11.000Z,0,0,1
22431549,2025-05-07T11:44:23.000Z,0,0,1
22431550,2025-05-07T11:44:35.000Z,0,0,1
22431551,2025-05-07T11:44:47.000Z,0,0,1
22431552,2025-05-07T11:44:59.000Z,0,0,1
22431553,2025-05-07T11:45:11.000Z,1179648,0,1
22431554,2025-05-07T11:45:23.000Z,786432,393216,1
22431555,2025-05-07T11:45:35.000Z,917504,393216,1
22431556,2025-05-07T11:45:47.000Z,786432,524288,1
22431557,2025-05-07T11:45:59.000Z,393216,524288,1
22431558,2025-05-07T11:46:11.000Z,131072,131072,1
22431559,2025-05-07T11:46:23.000Z,655360,0,1
22431560,2025-05-07T11:46:35.000Z,0,0,1
